iter	RMSE
0	6.936405106
1	6.800111326
2	6.668622021
3	6.547765024
4	6.433248703
5	6.310540438
6	6.206608739
7	6.101103151
8	5.99288346
9	5.882669165
10	5.779543794
11	5.681496862
12	5.59158651
13	5.49209058
14	5.401275959
15	5.30809283
16	5.21455193
17	5.129977499
18	5.038819048
19	4.95467384
20	4.867507669
21	4.782731466
22	4.702216371
23	4.633191664
24	4.558019938
25	4.480911459
26	4.409441938
27	4.336910049
28	4.262769439
29	4.200599148
30	4.135472283
31	4.069751748
32	4.00392351
33	3.941519466
34	3.880522385
35	3.824104417
36	3.764874435
37	3.705780166
38	3.651704565
39	3.597896361
40	3.550449147
41	3.498263932
42	3.447341251
43	3.396149818
44	3.347785927
45	3.30274411
46	3.259197814
47	3.214073132
48	3.177604289
49	3.132921856
50	3.091206315
51	3.051654916
52	3.013152828
53	2.976652956
54	2.939284936
55	2.902848667
56	2.866147122
57	2.828378754
58	2.795518238
59	2.761245942
60	2.728538565
61	2.693998229
62	2.660824419
63	2.626180204
64	2.599070122
65	2.57061325
66	2.537393478
67	2.50819546
68	2.478114797
69	2.44808826
70	2.415421962
71	2.388394497
72	2.361929627
73	2.334483396
74	2.306460199
75	2.280746011
76	2.252248449
77	2.225386848
78	2.201212933
79	2.179703497
80	2.155003473
81	2.129128095
82	2.1105836
83	2.088760232
84	2.06652573
85	2.04606956
86	2.025323349
87	2.004308009
88	1.985837683
89	1.96519844
90	1.945514101
91	1.924860654
92	1.905043594
93	1.884295428
94	1.866234418
95	1.847163352
96	1.82806074
97	1.809723064
98	1.791681826
99	1.775326959
100	1.756789044
101	1.742541125
102	1.726266564
103	1.710069226
104	1.696294254
105	1.682197005
106	1.668073004
107	1.651882763
108	1.635835032
109	1.620931576
110	1.608146712
111	1.594357716
112	1.581838854
113	1.56815957
114	1.55705765
115	1.546012289
116	1.535786983
117	1.523888284
118	1.512609549
119	1.501775736
120	1.488949819
121	1.477017966
122	1.463760521
123	1.452587044
124	1.441758196
125	1.429887075
126	1.421364394
127	1.410665127
128	1.401992622
129	1.391306204
130	1.379890185
131	1.369624086
132	1.359078371
133	1.349191033
134	1.342061616
135	1.331893679
136	1.321225347
137	1.312202764
138	1.303283914
139	1.294852158
140	1.286516657
141	1.277624746
142	1.270350848
143	1.261656062
144	1.25251692
145	1.244995585
146	1.237970286
147	1.22941585
148	1.22167275
149	1.213756726
150	1.205050368
151	1.197025723
152	1.190166094
153	1.184279257
154	1.177105879
155	1.170225583
156	1.164346294
157	1.15720313
158	1.150793558
159	1.143591475
160	1.136343732
161	1.130197365
162	1.124542912
163	1.118793375
164	1.112746949
165	1.1058325
166	1.098739816
167	1.093465243
168	1.089301095
169	1.08352704
170	1.0780112
171	1.070310075
172	1.064618159
173	1.058160045
174	1.05264271
175	1.047032229
176	1.04148102
177	1.035137531
178	1.030942772
179	1.025085949
180	1.019845032
181	1.014633914
182	1.009673667
183	1.003725285
184	0.9971803473
185	0.99205655
186	0.9878100182
187	0.9831415869
188	0.977907501
189	0.9728991308
190	0.9667579921
191	0.9627360301
192	0.9568616155
193	0.9522446605
194	0.9477923374
195	0.9435745804
196	0.9389079338
197	0.9346403113
198	0.9312221898
199	0.9257807652
200	0.9207747528
201	0.914647626
202	0.9101465597
