iter	Passed	Remaining
0	60	47977
1	61	24453
2	62	16629
3	63	12697
4	64	10312
5	65	8724
6	66	7583
7	67	6727
8	69	6074
9	70	5542
10	71	5120
11	72	4755
12	73	4455
13	74	4187
14	75	3954
15	76	3757
16	77	3577
17	78	3417
18	79	3280
19	81	3176
20	82	3062
21	83	2961
22	85	2871
23	85	2777
24	87	2717
25	88	2637
26	89	2564
27	90	2496
28	91	2432
29	92	2374
30	93	2315
31	94	2265
32	95	2215
33	96	2173
34	97	2131
35	98	2089
36	99	2047
37	100	2013
38	101	1985
39	102	1952
40	103	1912
41	104	1884
42	105	1857
43	106	1832
44	107	1805
45	108	1780
46	109	1758
47	111	1740
48	112	1717
49	113	1695
50	113	1672
51	115	1659
52	116	1639
53	117	1620
54	118	1600
55	119	1583
56	120	1574
57	121	1558
58	122	1541
59	123	1524
60	124	1508
61	125	1494
62	126	1480
63	127	1464
64	128	1451
65	129	1437
66	130	1424
67	131	1411
68	132	1407
69	133	1395
70	134	1385
71	135	1372
72	137	1367
73	138	1356
74	139	1346
75	140	1337
76	141	1327
77	142	1318
78	143	1309
79	144	1300
80	145	1290
81	146	1286
82	148	1278
83	149	1270
84	149	1261
85	150	1252
86	152	1245
87	153	1240
88	155	1238
89	156	1231
90	157	1229
91	158	1222
92	159	1216
93	162	1224
94	164	1218
95	165	1214
96	166	1207
97	167	1200
98	168	1194
99	169	1187
100	172	1191
101	173	1186
102	174	1179
103	175	1173
104	176	1167
105	177	1160
106	178	1154
107	179	1148
108	180	1141
109	180	1135
110	182	1130
111	183	1124
112	184	1119
113	185	1119
114	187	1114
115	188	1110
116	190	1110
117	191	1104
118	192	1098
119	192	1093
120	193	1087
121	194	1082
122	195	1076
123	196	1071
124	197	1067
125	198	1063
126	200	1060
127	201	1056
128	202	1051
129	203	1046
130	204	1042
131	205	1037
132	206	1034
133	207	1033
134	208	1029
135	209	1024
136	211	1021
137	212	1018
138	213	1014
139	214	1009
140	215	1005
141	216	1001
142	217	997
143	218	993
144	219	990
145	220	987
146	221	983
147	222	980
148	223	976
149	224	973
150	225	970
151	226	966
152	228	964
153	229	961
154	230	958
155	231	955
156	232	952
157	233	948
158	234	945
159	236	944
160	237	941
161	238	939
162	239	936
163	240	933
164	241	930
165	242	927
166	244	925
167	245	922
168	246	918
169	247	915
170	248	913
171	249	910
172	250	907
173	251	903
174	252	900
175	253	897
176	254	894
177	255	893
178	257	892
179	258	889
180	259	886
181	260	883
182	261	880
183	262	877
184	263	874
185	264	871
186	264	868
187	265	865
188	266	862
189	267	860
190	269	857
191	270	857
192	271	854
193	272	852
194	273	849
195	274	846
196	275	843
197	276	841
198	277	838
199	278	836
200	279	833
201	280	830
202	282	829
203	282	826
204	283	824
205	284	821
206	285	818
207	287	817
208	288	815
209	289	812
210	290	812
211	291	809
212	293	807
213	294	807
214	295	804
215	297	804
216	298	802
217	299	800
218	300	798
219	301	795
220	302	792
221	303	790
222	304	788
223	305	785
224	306	783
225	307	782
226	309	780
227	310	778
228	311	776
229	312	774
230	313	773
231	315	773
232	317	772
233	318	771
234	320	769
235	321	767
236	322	766
237	323	764
238	325	764
239	327	763
240	328	761
241	329	759
242	330	757
243	332	756
244	333	754
245	334	752
246	335	750
247	336	748
248	337	747
249	338	745
250	339	743
251	340	740
252	341	738
253	342	736
254	345	737
255	346	735
256	347	733
257	348	731
258	349	730
259	350	728
260	351	726
261	352	724
262	353	721
263	354	719
264	355	717
265	356	715
266	357	713
267	358	711
268	359	709
269	360	708
270	361	706
271	362	703
272	363	701
273	364	699
274	365	697
275	366	695
276	367	693
277	368	691
278	369	689
279	370	687
280	370	685
281	371	683
282	372	681
283	373	679
284	374	677
285	375	675
286	376	673
287	377	670
288	378	669
289	379	667
290	380	665
291	381	663
292	382	661
293	383	659
294	383	657
295	384	655
296	385	652
297	386	651
298	387	649
299	388	647
300	389	645
301	390	643
302	391	641
303	392	639
304	392	637
305	394	636
306	394	634
307	395	631
308	396	629
309	397	628
310	398	626
311	399	624
312	400	622
313	401	621
314	402	619
315	403	617
316	404	616
317	405	614
318	406	612
319	407	610
320	408	610
321	410	609
322	411	607
323	412	605
324	413	604
325	414	602
326	415	601
327	416	599
328	417	598
329	419	597
330	420	595
331	421	594
332	422	592
333	423	590
334	424	589
335	425	587
336	426	586
337	427	584
338	428	582
339	430	581
340	430	580
341	431	578
342	432	576
343	433	574
344	434	572
345	435	571
346	436	569
347	437	568
348	438	566
349	439	565
350	440	563
351	441	562
352	443	561
353	445	560
354	446	559
355	446	557
356	447	555
357	449	554
358	450	553
359	451	551
360	452	550
361	453	548
362	454	547
363	455	545
364	456	543
365	457	542
366	458	540
367	459	539
368	460	537
369	461	535
370	462	534
371	462	532
372	463	531
373	464	529
374	465	527
375	466	526
376	467	524
377	468	522
378	469	521
379	470	519
380	471	518
381	471	516
382	472	514
383	473	513
384	474	511
385	475	510
386	476	508
387	477	507
388	479	506
389	480	504
390	481	503
391	481	501
392	482	499
393	483	498
394	484	496
395	485	495
396	486	493
397	487	492
398	488	490
399	490	490
400	491	488
401	491	487
402	492	485
403	493	483
404	495	482
405	496	481
406	497	479
407	497	478
408	498	476
409	499	475
410	501	474
411	502	472
412	503	471
413	503	469
414	506	469
415	507	468
416	508	466
417	508	465
418	509	463
419	510	462
420	511	460
421	512	458
422	513	457
423	514	456
424	515	454
425	516	453
426	517	451
427	518	450
428	518	448
429	519	447
430	520	445
431	521	444
432	522	442
433	523	441
434	524	440
435	525	438
436	527	437
437	528	437
438	529	435
439	530	434
440	531	432
441	532	431
442	533	429
443	534	428
444	535	426
445	535	425
446	536	423
447	537	422
448	538	421
449	539	419
450	541	419
451	542	417
452	543	416
453	544	414
454	545	413
455	545	411
456	546	410
457	547	408
458	548	407
459	549	406
460	550	404
461	551	403
462	551	401
463	552	400
464	553	398
465	554	397
466	555	396
467	557	395
468	558	394
469	560	393
470	561	391
471	562	390
472	563	389
473	564	387
474	565	386
475	565	385
476	566	383
477	567	382
478	568	381
479	569	379
480	570	378
481	571	377
482	572	375
483	573	374
484	575	373
485	576	372
486	577	371
487	578	369
488	579	368
489	580	367
490	581	365
491	582	364
492	582	363
493	584	361
494	584	360
495	585	359
496	587	358
497	588	356
498	589	355
499	590	354
500	592	353
501	593	352
502	594	350
503	595	349
504	596	348
505	597	347
506	598	346
507	599	344
508	600	343
509	601	342
510	602	340
511	603	339
512	604	338
513	605	336
514	606	335
515	607	334
516	608	333
517	609	331
518	610	330
519	611	329
520	612	327
521	613	326
522	614	325
523	615	324
524	616	322
525	617	321
526	618	320
527	619	319
528	620	318
529	622	316
530	623	315
531	624	314
532	625	313
533	626	312
534	627	311
535	628	309
536	630	308
537	631	307
538	632	306
539	633	304
540	634	303
541	636	302
542	636	301
543	638	300
544	639	299
545	640	297
546	641	296
547	643	295
548	644	294
549	645	293
550	646	292
551	647	290
552	648	289
553	650	288
554	651	287
555	652	286
556	653	285
557	656	284
558	657	283
559	658	282
560	660	281
561	661	280
562	662	278
563	663	277
564	664	276
565	665	275
566	666	273
567	667	272
568	668	271
569	669	270
570	670	268
571	671	267
572	671	266
573	673	265
574	674	263
575	675	262
576	676	261
577	677	260
578	678	258
579	679	257
580	680	256
581	682	255
582	683	254
583	684	253
584	686	252
585	687	251
586	688	249
587	689	248
588	690	247
589	692	246
590	692	245
591	693	243
592	694	242
593	695	241
594	697	240
595	699	239
596	700	238
597	700	236
598	702	235
599	702	234
600	703	233
601	704	231
602	705	230
603	706	229
604	707	228
605	708	226
606	709	225
607	710	224
608	712	223
609	713	222
610	714	220
611	715	219
612	716	218
613	717	217
614	718	216
615	719	214
616	720	213
617	721	212
618	722	211
619	723	209
620	724	208
621	725	207
622	726	206
623	727	205
624	729	204
625	730	203
626	731	201
627	732	200
628	733	199
629	734	198
630	735	197
631	736	195
632	737	194
633	738	193
634	739	192
635	740	191
636	742	189
637	743	188
638	743	187
639	745	186
640	745	185
641	747	184
642	748	182
643	750	181
644	751	180
645	753	179
646	753	178
647	754	177
648	755	175
649	756	174
650	758	173
651	759	172
652	760	171
653	761	169
654	762	168
655	763	167
656	764	166
657	765	165
658	767	164
659	768	163
660	769	161
661	770	160
662	772	159
663	773	158
664	774	157
665	775	155
666	776	154
667	777	153
668	778	152
669	779	151
670	780	150
671	781	148
672	783	147
673	784	146
674	786	145
675	787	144
676	788	143
677	789	142
678	791	141
679	793	140
680	794	138
681	795	137
682	797	136
683	800	135
684	801	134
685	803	133
686	804	132
687	806	131
688	808	130
689	810	129
690	811	127
691	812	126
692	814	125
693	815	124
694	816	123
695	817	122
696	818	120
697	820	119
698	821	118
699	822	117
700	823	116
701	824	115
702	825	113
703	826	112
704	827	111
705	827	110
706	828	109
707	829	107
708	830	106
709	831	105
710	832	104
711	833	102
712	834	101
713	835	100
714	836	99
715	836	98
716	837	97
717	838	95
718	839	94
719	840	93
720	841	92
721	842	91
722	844	89
723	845	88
724	845	87
725	846	86
726	848	85
727	849	84
728	850	82
729	851	81
730	852	80
731	853	79
732	854	78
733	854	76
734	855	75
735	856	74
736	858	73
737	859	72
738	860	71
739	861	69
740	862	68
741	863	67
742	864	66
743	865	65
744	866	63
745	867	62
746	868	61
747	869	60
748	870	59
749	871	58
750	872	56
751	873	55
752	873	54
753	874	53
754	875	52
755	876	51
756	877	49
757	878	48
758	879	47
759	880	46
760	882	45
761	883	44
762	884	42
763	885	41
764	886	40
765	887	39
